18,Utah Jazz,39-43,21-20,18-23,18-12,21-31,5-5,7-3,6-4,7-9,9-9,5-13,31-26,8-17,6-4,16-24,1-2,13-3,8-6,7-9,3-9,4-10,3-4
19,Indiana Pacers,37-45,24-17,13-28,28-24,9-21,10-8,9-7,9-9,3-7,4-6,2-8,24-30,13-15,7-6,19-28,2-1,7-6,5-10,4-10,8-5,8-10,3-3
20,Golden State Warriors,36-46,26-15,10-31,15-15,21-31,5-5,6-4,4-6,11-7,5-11,5-13,26-29,10-17,4-4,14-24,2-1,6-9,5-9,7-8,6-5,6-12,4-2
21,Milwaukee Bucks,35-47,22-19,13-28,26-26,9-21,12-6,6-10,8-10,2-8,4-6,3-7,21-34,14-13,3-8,16-21,1-2,5-9,6-7,7-9,3-9,8-8,5-3
22,Charlotte Bobcats,34-48,21-20,13-28,22-30,12-18,11-7,7-11,4-12,4-6,6-4,2-8,24-32,10-16,11-7,9-24,0-3,6-8,5-9,9-7,6-6,6-9,2-6
23,Los Angeles Clippers,32-50,23-18,9-32,13-17,19-33,3-7,5-5,5-5,7-11,7-9,5-13,21-35,11-15,4-5,9-24,0-3,3-12,7-8,9-5,2-12,8-6,3-4
24,Detroit Pistons,30-52,21-20,9-32,22-30,8-22,9-9,7-9,6-12,1-9,5-5,2-8,21-36,9-16,3-7,13-27,0-3,6-9,5-10,6-9,5-8,4-9,4-4
25,New Jersey Nets,24-58,19-22,5-36,13-39,11-19,3-13,6-12,4-14,4-6,4-6,3-7,17-40,7-18,7-7,4-34,2-1,4-11,3-12,6-10,2-9,6-8,1-7
26,Sacramento Kings,24-58,11-30,13-28,9-21,15-37,4-6,3-7,2-8,5-13,7-9,3-15,13-40,11-18,8-8,7-23,2-1,2-11,2-11,6-10,3-10,6-10,3-5
27,Washington Wizards,23-59,20-21,3-38,16-36,7-23,8-10,5-13,3-13,4-6,1-9,2-8,15-39,8-20,8-2,7-36,0-2,5-9,3-12,5-11,2-10,3-12,5-3
28,Toronto Raptors,22-60,16-25,6-35,14-38,8-22,5-11,5-13,4-14,3-7,2-8,3-7,15-41,7-19,2-7,8-30,1-1,5-10,5-10,2-15,3-8,4-10,2-6
29,Cleveland Cavaliers,19-63,12-29,7-34,15-37,4-26,8-10,3-13,4-14,0-10,3-7,1-9,10-46,9-17,2-5,2-38,1-2,6-8,1-14,0-16,3-8,4-11,4-4
30,Minnesota Timberwolves,17-65,12-29,5-36,10-20,7-45,3-7,6-4,1-9,1-15,3-15,3-15,13-43,4-22,3-10,11-33,1-2,3-11,4-12,3-11,3-10,3-12,0-7
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,MOV_under_3,MOV_over_10,Dec,Jan,Feb,Mar,Apr
1,Chicago Bulls,50-16,26-7,24-9,38-10,12-6,13-4,13-1,12-5,2-3,5-1,5-2,27-8,23-8,5-2,31-8,3-1,15-4,11-3,13-3,8-5
2,San Antonio Spurs,50-16,28-5,22-11,15-3,35-13,6-0,4-2,5-1,10-6,13-3,12-4,24-10,26-6,5-4,31-7,3-1,10-8,11-2,12-3,14-2
3,Oklahoma City Thunder,47-19,26-7,21-12,13-5,34-14,6-0,3-2,4-3,10-3,12-5,12-6,27-7,20-12,5-4,27-5,5-0,11-4,12-3,11-5,8-7
4,Miami Heat,46-20,28-5,18-15,35-13,11-7,14-3,12-5,9-5,3-3,3-3,5-1,27-7,19-13,6-2,29-10,4-0,12-5,11-2,10-6,9-7
5,Indiana Pacers,42-24,23-10,19-14,29-19,13-5,11-7,9-4,9-8,5-1,4-2,4-2,21-12,21-12,4-3,21-12,3-1,11-5,8-6,8-9,12-3
6,Los Angeles Lakers,41-25,26-7,15-18,9-9,32-16,5-2,1-4,3-3,12-6,9-5,11-5,20-14,21-11,10-4,11-10,3-2,10-7,8-5,11-6,9-5
7,Memphis Grizzlies,41-25,26-7,15-18,15-3,26-22,4-2,6-1,5-0,10-7,9-7,7-8,19-15,22-10,6-2,16-10,1-2,10-8,9-5,8-7,13-3
8,Atlanta Hawks,40-26,23-10,17-16,31-17,9-9,9-8,11-6,11-3,4-2,3-4,2-3,20-14,20-12,6-8,17-13,3-1,13-5,4-9,11-8,9-3
9,Los Angeles Clippers,40-26,24-9,16-17,11-7,29-19,3-3,2-3,6-1,12-7,7-7,10-5,20-11,20-15,7-6,17-7,1-2,11-4,8-6,11-9,9-5
10,Boston Celtics,39-27,24-9,15-18,32-16,7-11,8-6,9-8,15-2,3-3,2-4,2-4,15-17,24-10,6-5,19-11,1-3,9-7,7-7,12-5,10-5
11,Denver Nuggets,38-28,20-13,18-15,16-2,22-26,5-1,5-1,6-0,6-7,9-8,7-11,18-17,20-11,6-6,18-11,2-2,12-5,5-10,9-7,10-4
12,Orlando Magic,37-29,21-12,16-17,30-18,7-11,10-6,12-5,8-7,2-5,4-1,1-5,22-13,15-16,2-5,18-16,3-1,9-8,11-4,9-7,5-9
13,Dallas Mavericks,36-30,23-10,13-20,10-8,26-22,5-2,2-3,3-3,10-8,8-9,8-5,21-13,15-17,7-8,16-15,1-3,13-5,7-7,9-8,6-7
14,New York Knicks,36-30,22-11,14-19,28-20,8-10,8-6,10-8,10-6,3-2,4-3,1-5,17-18,19-12,7-3,19-15,2-2,6-11,10-5,9-8,9-4
15,Utah Jazz,36-30,25-8,11-22,11-7,25-23,3-4,4-2,4-1,9-4,9-9,7-10,15-17,21-13,7-6,15-14,1-3,11-4,4-11,11-8,9-4
16,Philadelphia 76ers,35-31,19-14,16-17,28-20,7-11,7-6,11-6,10-8,1-5,5-1,1-5,20-14,15-17,1-4,28-12,2-2,13-4,6-9,8-8,6-8
17,Houston Rockets,34-32,22-11,12-21,11-7,23-25,4-2,2-3,5-2,8-10,9-7,6-8,20-14,14-18,8-5,13-13,2-2,10-7,9-6,7-9,6-8
18,Phoenix Suns,33-33,19-14,14-19,10-8,23-25,2-3,5-2,3-3,6-9,9-5,8-11,14-20,19-13,8-5,14-19,1-3,6-10,7-7,11-6,8-7
19,Milwaukee Bucks,31-35,17-16,14-19,24-24,7-11,9-7,7-8,8-9,3-4,2-4,2-3,13-20,18-15,4-6,13-12,2-1,7-10,5-10,10-7,7-7
20,Portland Trail Blazers,28-38,20-13,8-25,8-10,20-28,3-2,2-4,3-4,4-10,8-10,8-8,18-16,10-22,3-11,17-17,3-0,9-9,6-8,6-11,4-10
21,Minnesota Timberwolves,26-40,13-20,13-20,7-11,19-29,2-3,2-5,3-3,4-9,7-11,8-9,17-17,9-23,7-7,13-16,0-3,10-8,8-7,7-10,1-12
22,Detroit Pistons,25-41,18-15,7-26,20-28,5-13,7-9,4-11,9-8,1-5,3-3,1-5,11-24,14-17,7-4,12-27,1-3,3-16,8-6,7-8,6-8
23,Golden State Warriors,23-43,12-21,11-22,7-11,16-32,1-6,3-3,3-2,6-11,7-8,3-13,13-17,10-26,5-12,7-16,2-2,5-10,7-6,6-12,3-13
24,Toronto Raptors,23-43,13-20,10-23,15-33,8-10,7-8,4-12,4-13,3-3,2-3,3-4,10-23,13-20,1-7,12-21,1-2,6-13,4-9,6-11,6-8
25,New Jersey Nets,22-44,9-24,13-20,16-32,6-12,5-9,5-12,6-11,0-6,5-2,1-4,10-25,12-19,6-2,8-26,1-3,6-12,4-10,8-10,3-9
26,Sacramento Kings,22-44,16-17,6-27,6-12,16-32,2-4,2-5,2-3,7-12,3-10,6-10,11-22,11-22,6-7,6-24,1-3,5-12,6-7,6-12,4-10
27,Cleveland Cavaliers,21-45,11-22,10-23,13-35,8-10,6-12,3-12,4-11,3-3,3-3,2-4,13-18,8-27,5-6,9-26,1-2,7-10,5-8,4-13,4-12
28,New Orleans Hornets,21-45,11-22,10-23,7-11,14-34,3-2,2-5,2-4,6-11,5-12,3-11,8-25,13-20,4-9,6-19,2-1,2-16,4-10,5-12,8-6
29,Washington Wizards,20-46,11-22,9-24,16-32,4-14,4-14,5-11,7-7,2-4,1-5,1-5,7-26,13-20,6-5,11-26,0-3,4-14,3-11,5-11,8-7
30,Charlotte Bobcats,7-59,4-29,3-30,5-43,2-16,3-14,1-15,1-14,0-6,1-4,1-6,4-28,3-31,2-4,2-38,1-2,2-17,1-10,3-14,0-16
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,MOV_under_3,MOV_over_10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Miami Heat,66-16,37-4,29-12,41-11,25-5,14-4,12-6,15-1,8-2,8-2,9-1,36-14,30-2,9-3,39-8,1-0,10-3,10-5,8-5,12-1,17-1,8-1
2,Oklahoma City Thunder,60-22,34-7,26-15,21-9,39-13,7-3,8-2,6-4,10-6,16-2,13-5,39-14,21-8,3-6,44-6,,13-4,11-2,11-5,7-4,12-5,6-2
3,San Antonio Spurs,58-24,35-6,23-18,25-5,33-19,8-2,9-1,8-2,9-9,12-6,12-4,42-12,16-12,9-5,31-10,1-0,12-4,12-4,12-3,8-3,10-4,3-6
4,Denver Nuggets,57-25,38-3,19-22,19-11,38-14,5-5,10-0,4-6,11-5,14-4,13-5,33-21,24-4,11-7,28-8,0-1,8-8,9-6,12-3,8-4,13-2,7-1
5,Los Angeles Clippers,56-26,32-9,24-17,21-9,35-17,7-3,8-2,6-4,12-6,11-5,12-6,39-17,17-9,3-5,38-12,1-0,8-6,16-0,9-7,8-5,7-7,7-1
6,Memphis Grizzlies,56-26,32-9,24-17,22-8,34-18,8-2,8-2,6-4,12-6,12-6,10-6,33-18,23-8,6-4,28-9,0-1,12-1,7-7,10-7,9-2,11-6,7-2
7,New York Knicks,54-28,31-10,23-18,37-15,17-13,10-6,12-6,15-3,6-4,5-5,6-4,32-18,22-10,7-5,31-12,,11-4,10-5,7-6,6-5,12-6,8-2
8,Brooklyn Nets,49-33,26-15,23-18,36-16,13-17,11-5,13-5,12-6,5-5,5-5,3-7,31-22,18-11,9-4,23-17,,11-4,5-11,11-4,7-5,8-7,7-2
9,Indiana Pacers,49-32,30-11,19-21,31-20,18-12,6-11,13-3,12-6,3-7,7-3,8-2,32-21,17-11,4-9,27-14,1-0,7-8,10-5,9-6,9-3,11-5,2-5
10,Golden State Warriors,47-35,28-13,19-22,19-11,28-24,7-3,5-5,7-3,10-8,9-7,9-9,30-22,17-13,5-3,20-18,1-0,8-6,12-4,8-7,4-8,9-7,5-3
11,Chicago Bulls,45-37,24-17,21-20,34-18,11-19,13-5,9-7,12-6,4-6,5-5,2-8,30-22,15-15,11-7,16-16,1-0,6-7,9-6,12-4,5-8,7-7,5-5
12,Houston Rockets,45-37,29-12,16-25,21-9,24-28,7-3,7-3,7-3,8-10,10-8,6-10,29-26,16-11,5-5,26-13,1-0,6-8,10-6,8-9,6-5,9-5,5-4
13,Los Angeles Lakers,45-37,29-12,16-25,17-13,28-24,6-4,6-4,5-5,9-9,8-8,11-7,25-29,20-8,8-5,18-17,0-2,8-6,7-7,5-11,9-4,9-6,7-1
14,Atlanta Hawks,44-38,25-16,19-22,29-23,15-15,7-11,11-7,11-5,6-4,5-5,4-6,29-22,15-16,5-5,19-20,,9-5,10-5,7-9,7-4,8-10,3-5
15,Utah Jazz,43-39,30-11,13-28,17-13,26-26,5-5,5-5,7-3,9-7,9-9,8-10,30-24,13-15,5-7,19-21,1-0,8-8,6-9,10-4,6-6,7-9,5-3
16,Boston Celtics,41-40,27-13,14-27,27-24,14-16,7-9,8-9,12-6,6-4,6-4,2-8,28-24,13-16,8-7,18-23,0-1,9-6,5-9,8-7,8-4,8-8,3-5
17,Dallas Mavericks,41-41,24-17,17-24,17-13,24-28,5-5,6-4,6-4,7-11,10-8,7-9,23-29,18-12,5-8,17-19,1-1,6-8,5-10,7-8,6-5,11-5,5-4
18,Milwaukee Bucks,38-44,21-20,17-24,24-28,14-16,11-7,7-9,6-12,4-6,7-3,3-7,26-25,12-19,7-5,13-25,,7-7,9-6,8-7,4-8,7-9,3-7
19,Philadelphia 76ers,34-48,23-18,11-30,22-30,12-18,7-9,7-11,8-10,3-7,5-5,4-6,22-29,12-19,4-5,13-24,1-0,9-6,4-11,5-9,3-8,8-9,4-5
20,Toronto Raptors,34-48,21-20,13-28,22-30,12-18,5-11,8-10,9-9,4-6,4-6,4-6,21-32,13-16,8-8,16-22,0-1,4-12,7-7,5-10,7-5,4-11,7-2
21,Portland Trail Blazers,33-49,22-19,11-30,15-15,18-34,5-5,5-5,5-5,6-10,5-13,7-11,25-28,8-21,9-6,13-24,1-0,5-10,9-4,8-8,3-9,7-9,0-9
22,Minnesota Timberwolves,31-51,20-21,11-30,14-16,17-35,4-6,7-3,3-7,4-12,5-13,8-10,19-31,12-20,3-10,15-26,,7-8,7-5,3-12,3-10,6-11,5-5
23,Detroit Pistons,29-53,18-23,11-30,25-27,4-26,6-12,8-8,11-7,1-9,2-8,1-9,21-33,8-20,6-10,15-29,0-1,5-11,6-10,6-7,6-8,1-13,5-3
24,Washington Wizards,29-53,22-19,7-34,15-37,14-16,5-13,5-13,5-11,6-4,4-6,4-6,15-36,14-17,6-9,13-17,0-1,1-12,3-11,7-9,7-5,9-8,2-7
25,Sacramento Kings,28-54,20-21,8-33,14-16,14-38,4-6,4-6,6-4,5-13,7-9,2-16,19-35,9-19,7-3,12-31,0-1,4-10,7-8,6-11,3-9,7-8,1-7
26,New Orleans Hornets,27-55,16-25,11-30,12-18,15-37,3-7,5-5,4-6,5-13,5-13,5-11,19-34,8-21,7-5,10-27,0-1,4-9,3-13,8-8,5-8,6-9,1-7
27,Phoenix Suns,25-57,17-24,8-33,8-22,17-35,1-9,4-6,3-7,5-13,5-11,7-11,17-36,8-21,6-8,10-31,0-1,7-9,4-11,5-9,4-9,3-12,2-6
28,Cleveland Cavaliers,24-58,14-27,10-31,18-34,6-24,5-13,3-13,10-8,3-7,2-8,1-9,16-37,8-21,6-11,7-27,1-0,3-12,3-13,6-8,7-5,2-12,2-8
29,Charlotte Bobcats,21-61,15-26,6-35,18-34,3-27,6-12,6-12,6-10,2-8,0-10,1-9,12-40,9-21,6-6,6-37,,7-8,1-15,3-11,2-10,4-12,4-5
30,Orlando Magic,20-62,12-29,8-33,10-42,10-20,2-16,5-13,3-13,3-7,6-4,1-9,15-37,5-25,2-9,8-30,,5-10,7-9,2-12,2-11,3-13,1-7
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,MOV_under_3,MOV_over_10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,San Antonio Spurs,62-20,32-9,30-11,24-6,38-14,8-2,7-3,9-1,11-7,15-3,12-4,38-15,24-5,7-0,35-12,1-0,13-3,11-4,8-6,9-3,16-0,4-4
2,Oklahoma City Thunder,59-23,34-7,25-16,23-7,36-16,8-2,8-2,7-3,11-5,12-6,13-5,43-12,16-11,10-4,33-8,1-0,10-3,14-3,13-4,6-5,10-4,5-4
3,Los Angeles Clippers,57-25,34-7,23-18,21-9,36-16,9-1,7-3,5-5,12-6,12-4,12-6,37-18,20-7,4-3,30-9,1-1,11-4,9-7,12-4,7-4,13-2,4-3
4,Indiana Pacers,56-26,35-6,21-20,38-14,18-12,15-3,12-4,11-7,6-4,7-3,5-5,40-12,16-14,4-3,29-17,2-0,13-1,10-4,10-5,9-3,8-10,4-3
5,Houston Rockets,54-28,33-8,21-20,23-7,31-21,7-3,8-2,8-2,11-7,9-9,11-5,36-17,18-11,7-6,30-9,1-0,12-5,8-8,10-4,8-2,10-4,5-5
6,Miami Heat,54-28,32-9,22-19,34-18,20-10,9-9,13-5,12-4,6-4,8-2,6-4,37-14,17-14,8-7,29-10,1-1,12-2,11-4,8-6,9-1,10-8,3-6
7,Portland Trail Blazers,54-28,31-10,23-18,23-7,31-21,9-1,9-1,5-5,13-3,10-8,8-10,36-17,18-11,8-9,24-13,0-1,13-2,12-4,8-6,7-5,8-9,6-1
8,Golden State Warriors,51-31,27-14,24-17,20-10,31-21,7-3,7-3,6-4,11-7,11-5,9-9,31-22,20-9,11-8,28-9,1-1,8-7,11-5,9-6,7-4,9-5,6-3
9,Memphis Grizzlies,50-32,27-14,23-18,21-9,29-23,6-4,7-3,8-2,11-7,14-4,4-12,29-23,21-9,10-4,18-13,0-1,8-7,5-9,12-3,7-5,12-5,6-2
10,Dallas Mavericks,49-33,26-15,23-18,20-10,29-23,5-5,9-1,6-4,10-8,10-8,9-7,32-22,17-11,11-11,23-10,1-0,9-8,8-5,9-8,9-3,8-6,5-3
11,Chicago Bulls,48-34,27-14,21-20,35-17,13-17,12-6,11-5,12-6,3-7,6-4,4-6,27-25,21-9,6-5,27-19,1-1,6-7,5-10,11-4,9-4,10-6,6-2
12,Toronto Raptors,48-34,26-15,22-19,32-20,16-14,11-5,13-5,8-10,6-4,3-7,7-3,28-24,20-10,3-8,24-6,1-0,5-9,8-6,11-6,7-5,10-6,6-2
13,Phoenix Suns,48-34,26-15,22-19,20-10,28-24,7-3,6-4,7-3,13-5,8-8,7-11,30-21,18-13,2-9,19-7,1-0,8-8,10-3,9-7,6-6,10-6,4-4
14,Brooklyn Nets,44-38,28-13,16-25,26-26,18-12,9-7,7-11,10-8,5-5,6-4,7-3,24-27,20-11,8-3,17-20,0-1,5-11,5-9,10-3,7-5,12-4,5-5
15,Washington Wizards,44-38,22-19,22-19,33-19,11-19,13-5,10-8,10-6,4-6,5-5,2-8,25-27,19-11,5-9,19-14,0-1,8-8,6-5,8-9,8-5,8-8,6-2
16,Charlotte Bobcats,43-39,25-16,18-23,30-22,13-17,11-7,13-5,6-10,4-6,6-4,3-7,23-30,20-9,8-8,18-19,0-1,8-8,6-9,7-9,6-4,9-7,7-1
17,Minnesota Timberwolves,40-42,24-17,16-25,17-13,23-29,5-5,7-3,5-5,7-9,7-11,9-9,25-28,15-14,5-6,26-18,1-0,8-9,6-7,8-7,5-6,8-8,4-5
18,Atlanta Hawks,38-44,24-17,14-27,28-24,10-20,10-8,10-8,8-8,4-6,4-6,2-8,25-26,13-18,8-9,15-16,0-1,9-8,9-5,6-7,2-10,6-10,6-3
19,New York Knicks,37-45,19-22,18-23,26-26,11-19,10-6,9-9,7-11,4-6,4-6,3-7,20-32,17-13,3-8,19-22,1-1,2-11,6-9,10-6,2-11,11-5,5-2
20,Denver Nuggets,36-46,22-19,14-27,16-14,20-32,5-5,5-5,6-4,5-11,8-10,7-11,24-27,12-19,8-5,16-24,0-1,9-5,5-10,8-7,3-9,7-10,4-4
21,New Orleans Pelicans,34-48,22-19,12-29,19-11,15-37,6-4,8-2,5-5,7-11,4-14,4-12,23-29,11-19,7-8,10-21,0-1,7-7,7-7,5-11,4-9,9-7,2-6
22,Cleveland Cavaliers,33-49,19-22,14-27,21-31,12-18,8-10,7-9,6-12,6-4,5-5,1-9,20-33,13-16,7-5,13-27,1-0,4-12,5-9,6-9,8-6,6-9,3-4
23,Detroit Pistons,29-53,17-24,12-29,23-29,6-24,11-7,6-10,6-12,2-8,3-7,1-9,22-30,7-23,2-6,16-25,1-0,5-10,8-9,4-8,5-8,4-12,2-6
24,Sacramento Kings,28-54,17-24,11-30,13-17,15-37,5-5,4-6,4-6,6-12,3-13,6-12,18-35,10-19,4-9,12-26,1-0,3-10,6-10,5-11,5-7,6-10,2-6
25,Los Angeles Lakers,27-55,14-27,13-28,12-18,15-37,6-4,3-7,3-7,5-13,6-10,4-14,18-35,9-20,5-5,12-33,1-1,8-7,4-11,3-12,4-8,5-9,2-7
26,Boston Celtics,25-57,16-25,9-32,21-31,4-26,5-11,6-12,10-8,3-7,1-9,0-10,19-35,6-22,5-9,9-23,0-1,7-11,6-6,2-15,5-6,3-12,2-6
27,Utah Jazz,25-57,16-25,9-32,12-18,13-39,3-7,3-7,6-4,4-12,6-12,3-15,19-33,6-24,5-4,9-39,0-1,3-14,7-9,6-6,5-7,2-15,2-5
28,Orlando Magic,23-59,19-22,4-37,17-35,6-24,7-11,6-12,4-12,3-7,2-8,1-9,16-38,7-21,5-7,10-30,0-2,6-8,4-11,3-14,5-7,3-11,2-6
29,Philadelphia 76ers,19-63,10-31,9-32,14-38,5-25,5-11,4-14,5-13,2-8,2-8,1-9,15-39,4-24,6-3,4-46,1-0,5-11,3-10,6-11,0-11,1-15,3-5
30,Milwaukee Bucks,15-67,10-31,5-36,12-40,3-27,5-13,4-12,3-15,1-9,2-8,0-10,9-43,6-24,4-5,4-33,0-1,3-12,4-11,1-14,3-8,3-14,1-7
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,MOV_under_3,MOV_over_10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Golden State Warriors,67-15,39-2,28-13,25-5,42-10,9-1,7-3,9-1,15-3,13-3,14-4,42-9,25-6,5-3,45-9,1-0,13-2,11-3,12-3,8-3,16-2,6-2
2,Atlanta Hawks,60-22,35-6,25-16,38-14,22-8,12-6,14-4,12-4,8-2,8-2,6-4,43-11,17-11,6-4,30-10,0-1,9-5,14-2,17-0,7-4,9-7,4-3
3,Houston Rockets,56-26,30-11,26-15,23-7,33-19,9-1,8-2,6-4,15-3,10-8,8-8,36-17,20-9,8-4,31-14,2-0,11-4,9-5,11-6,7-3,10-6,6-2
4,Los Angeles Clippers,56-26,30-11,26-15,19-11,37-15,7-3,6-4,6-4,15-3,12-4,10-8,35-19,21-7,3-5,33-9,2-0,9-5,11-6,11-4,5-6,11-5,7-0
5,Memphis Grizzlies,55-27,31-10,24-17,20-10,35-17,8-2,5-5,7-3,13-5,13-5,9-7,39-14,16-13,9-3,26-13,2-0,13-2,8-6,12-4,7-4,9-8,4-3
6,San Antonio Spurs,55-27,33-8,22-19,23-7,32-20,7-3,7-3,9-1,12-6,12-6,8-8,34-19,21-8,6-7,34-7,1-1,11-3,8-10,10-4,6-5,12-3,7-1
7,Cleveland Cavaliers,53-29,31-10,22-19,35-17,18-12,12-6,11-5,12-6,6-4,7-3,5-5,33-22,20-7,6-4,30-14,1-1,7-6,10-7,11-6,8-3,11-4,5-2
8,Portland Trail Blazers,51-31,32-9,19-22,20-10,31-21,8-2,7-3,5-5,11-5,10-8,10-8,36-17,15-14,5-1,30-11,1-1,12-3,13-3,6-9,6-3,10-6,3-6
9,Chicago Bulls,50-32,27-14,23-18,33-19,17-13,16-2,8-8,9-9,6-4,5-5,6-4,34-20,16-12,7-2,20-16,1-1,10-5,11-4,8-9,7-3,8-7,5-3
10,Dallas Mavericks,50-32,27-14,23-18,21-9,29-23,9-1,5-5,7-3,13-5,9-9,7-9,36-19,14-13,5-4,22-18,1-1,12-4,10-5,9-7,7-5,6-7,5-3
11,Toronto Raptors,49-33,27-14,22-19,33-19,16-14,11-5,8-10,14-4,7-3,6-4,3-7,36-17,13-16,6-5,29-11,1-0,12-4,11-4,9-7,4-7,7-8,5-3
12,Washington Wizards,46-36,29-12,17-24,30-22,16-14,11-7,9-9,10-6,6-4,4-6,6-4,33-21,13-15,9-4,21-14,1-1,9-4,12-4,9-8,3-9,7-7,5-3
13,New Orleans Pelicans,45-37,28-13,17-24,16-14,29-23,6-4,5-5,5-5,10-8,11-7,8-8,27-26,18-11,10-4,19-14,1-0,6-8,9-8,9-6,6-5,8-7,6-3
14,Oklahoma City Thunder,45-37,29-12,16-25,20-10,25-27,6-4,5-5,9-1,10-6,11-7,4-14,28-25,17-12,4-8,26-14,0-2,5-10,11-5,7-7,9-3,10-5,3-5
15,Milwaukee Bucks,41-41,23-18,18-23,30-22,11-19,14-4,7-9,9-9,5-5,5-5,1-9,30-23,11-18,5-9,17-16,1-1,9-7,7-8,8-6,7-5,4-11,5-3
16,Boston Celtics,40-42,21-20,19-22,28-24,12-18,12-4,9-9,7-11,6-4,3-7,3-7,20-31,20-11,8-6,17-14,1-0,3-10,7-8,5-11,7-4,10-8,7-1
17,Phoenix Suns,39-43,22-19,17-24,18-12,21-31,8-2,6-4,4-6,9-9,6-10,6-12,29-25,10-18,4-12,14-19,2-0,8-8,8-8,10-5,3-8,7-8,1-6
18,Brooklyn Nets,38-44,19-22,19-22,24-28,14-16,10-6,7-11,7-11,6-4,6-4,2-8,21-31,17-13,10-2,15-23,0-1,6-8,9-7,3-12,6-5,9-7,5-4
19,Indiana Pacers,38-44,23-18,15-26,28-24,10-20,9-9,8-8,11-7,4-6,2-8,4-6,21-33,17-11,4-12,19-20,1-1,6-9,5-11,5-11,7-2,8-8,6-2
20,Utah Jazz,38-44,21-20,17-24,15-15,23-29,6-4,6-4,3-7,9-7,7-11,7-11,19-34,19-10,5-10,18-19,0-2,5-10,6-9,6-9,6-5,10-6,5-3
21,Miami Heat,37-45,20-21,17-24,25-27,12-18,14-4,5-13,6-10,4-6,7-3,1-9,22-30,15-15,4-10,15-28,1-0,8-7,5-12,6-7,5-7,9-7,3-5
22,Charlotte Hornets,33-49,19-22,14-27,25-27,8-22,10-8,7-11,8-8,5-5,2-8,1-9,22-30,11-19,6-8,13-22,1-0,3-14,6-9,10-4,3-6,8-9,2-7
23,Detroit Pistons,32-50,18-23,14-27,23-29,9-21,8-10,6-10,9-9,2-8,3-7,4-6,21-33,11-17,7-6,19-25,0-2,3-12,5-9,10-7,5-6,6-9,3-5
24,Denver Nuggets,30-52,19-22,11-30,11-19,19-33,1-9,6-4,4-6,6-10,8-10,5-13,20-33,10-19,4-4,17-28,1-0,7-8,5-11,6-10,1-9,8-8,2-6
25,Sacramento Kings,29-53,18-23,11-30,11-19,18-34,4-6,4-6,3-7,8-10,7-9,3-15,18-34,11-19,6-4,12-28,1-1,8-7,4-11,4-10,3-7,6-11,3-6
26,Orlando Magic,25-57,13-28,12-29,15-37,10-20,6-12,5-13,4-12,4-6,4-6,2-8,17-39,8-18,6-8,4-27,0-2,7-10,6-10,2-13,4-6,3-11,3-5
27,Los Angeles Lakers,21-61,12-29,9-32,12-18,9-43,4-6,5-5,3-7,5-13,2-14,2-16,13-40,8-21,6-6,5-30,0-3,4-10,6-9,3-12,3-7,4-12,1-8
28,Philadelphia 76ers,18-64,12-29,6-35,12-40,6-24,2-14,5-13,5-13,4-6,1-9,1-9,12-41,6-23,3-7,5-41,0-2,0-14,4-10,6-12,3-7,5-12,0-7
29,New York Knicks,17-65,10-31,7-34,11-41,6-24,5-11,2-16,4-14,2-8,2-8,2-8,10-43,7-22,2-7,3-39,1-1,3-13,1-15,4-9,3-8,2-14,3-5
30,Minnesota Timberwolves,16-66,9-32,7-34,9-21,7-45,4-6,3-7,2-8,4-12,2-16,1-17,11-42,5-24,6-6,4-40,1-1,3-10,1-14,3-14,5-6,3-13,0-8
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,MOV_under_3,MOV_over_10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Golden State Warriors,73-9,39-2,34-7,27-3,46-6,9-1,8-2,10-0,15-3,15-1,16-2,48-4,25-5,7-2,44-5,3-0,16-0,11-2,14-2,9-1,15-2,5-2
2,San Antonio Spurs,67-15,40-1,27-14,24-6,43-9,9-1,7-3,8-2,15-3,14-4,14-2,45-8,22-7,4-4,44-6,1-1,13-3,14-2,11-2,11-1,13-3,4-3
3,Cleveland Cavaliers,57-25,33-8,24-17,35-17,22-8,14-4,8-8,13-5,8-2,8-2,6-4,38-14,19-11,4-7,32-8,2-1,11-3,8-5,13-3,8-5,11-5,4-3
4,Toronto Raptors,56-26,32-9,24-17,39-13,17-13,14-2,11-7,14-4,5-5,5-5,7-3,35-17,21-9,6-6,28-10,2-0,9-7,9-6,12-2,7-4,11-5,6-2
5,Oklahoma City Thunder,55-27,32-9,23-18,18-12,37-15,6-4,4-6,8-2,13-3,12-6,12-6,40-14,15-13,8-6,33-5,2-0,9-7,12-3,13-3,6-5,11-5,2-4
